BuildingType,YearBuilt,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions
NonResidential,1926,2,47992,Worship Facility,17.0,3040195.5,118.37
NonResidential,1993,3,28572,Residence Hall/Dormitory,16.0,2717863.25,89.57
NonResidential,2000,2,31386,Worship Facility,52.0,1128179.125,27.14
NonResidential,2012,2,57619,Office,68.0,2641681.75,20.08
SPS-District K-12,1971,1,55206,K-12 School,75.0,2345752.5,61.84
NonResidential,1981,3,78374,Senior Care Community,98.0,3321035.75,23.15
NonResidential,1900,5,39960,Office,77.0,2178690.5,49.98
NonResidential,1909,6,35820,Hotel,94.0,3321603.0,130.58
NonResidential,1965,3,49744,K-12 School,98.0,2096835.5,89.29
NonResidential,1923,2,37816,Worship Facility,60.0,1411305.5,43.45
NonResidential,1946,2,25762,Supermarket/Grocery Store,100.0,1906384.875,13.29
NonResidential,1981,3,43387,Office,60.0,2686765.0,34.15
NonResidential,1985,1,37500,Non-Refrigerated Warehouse,36.0,1811506.375,13.16
NonResidential,1990,2,39000,Medical Office,25.0,2615247.75,33.92
SPS-District K-12,1971,1,51704,K-12 School,62.0,1799402.75,41.68
NonResidential,1961,1,29740,Office,57.0,1467060.25,19.82
NonResidential,1970,2,39170,Office,81.0,2130673.75,63.06
NonResidential,1914,1,20000,Retail Store,75.0,557863.6875,3.89
NonResidential,1955,2,32400,Non-Refrigerated Warehouse,91.0,248616.0,1.73
NonResidential,1955,1,26680,Distribution Center,92.0,243518.2031,1.7
NonResidential,1953,1,31521,Non-Refrigerated Warehouse,6.0,1788148.0,61.71
NonResidential,1998,1,35579,Distribution Center,72.0,1096646.25,39.05
NonResidential,1975,1,49950,Distribution Center,77.0,238969.7031,1.67
SPS-District K-12,2001,3,62078,K-12 School,97.0,1955013.5,50.69
NonResidential,1947,2,22612,Worship Facility,87.0,731321.8125,31.6
NonResidential,1938,1,30545,Non-Refrigerated Warehouse,12.0,1577040.875,61.53
NonResidential,1922,3,32691,K-12 School,99.0,971990.3125,29.82
NonResidential,1963,2,24227,Worship Facility,55.0,1086678.125,47.59
NonResidential,1956,1,27000,Distribution Center,61.0,651293.3125,18.85
SPS-District K-12,1999,3,95501,K-12 School,88.0,3009967.0,62.94
NonResidential,1957,2,21183,Office,99.0,361542.0938,2.52
NonResidential,1961,3,25558,Office,91.0,755618.1875,6.18
NonResidential,1985,5,82234,Office,62.0,4704936.5,32.8
NonResidential,1988,3,21118,Residence Hall/Dormitory,49.0,1361427.75,39.5
NonResidential,2013,5,126842,Office,98.0,4489661.0,72.26
NonResidential,1900,2,20500,Office,48.0,1326178.125,11.27
NonResidential,1930,2,25521,Worship Facility,82.0,605186.3125,15.47
NonResidential,1986,1,23190,K-12 School,79.0,1705515.25,68.14
NonResidential,1960,1,20678,Office,98.0,770333.0,32.63
NonResidential,1922,3,28820,K-12 School,43.0,2595783.5,106.45
NonResidential,1954,2,27876,Worship Facility,69.0,1829981.375,68.97
SPS-District K-12,1925,1,48789,K-12 School,94.0,1298307.625,29.41
SPS-District K-12,1925,1,33105,K-12 School,79.0,1725336.25,69.77
NonResidential,1977,1,22320,Non-Refrigerated Warehouse,62.0,439065.9063,3.06
NonResidential,1982,2,40029,Office,69.0,1471914.25,10.26
NonResidential,1970,2,28304,Office,67.0,1269367.5,8.85
NonResidential,1969,2,25872,Office,41.0,2399353.5,81.96
NonResidential,1969,1,20500,Non-Refrigerated Warehouse,65.0,222600.0938,1.55
NonResidential,1958,2,21436,Office,95.0,534703.6875,3.73
NonResidential,1985,3,23307,Office,94.0,1126157.25,28.09
NonResidential,1916,2,25920,Retail Store,5.0,478690.0938,3.34
NonResidential,1919,2,25920,Retail Store,93.0,1011667.5,13.71
NonResidential,1919,2,25920,Office,75.0,1793851.375,46.48
NonResidential,2001,5,27730,Office,79.0,1291405.25,9.0
NonResidential,1911,2,20516,Retail Store,98.0,1021796.625,42.04
NonResidential,1906,3,27480,Retail Store,88.0,1215156.25,8.47
NonResidential,1947,1,46958,Office,95.0,1818867.875,30.32
NonResidential,1984,1,26532,Distribution Center,5.0,1934224.25,66.53
NonResidential,1986,2,35600,Office,47.0,2173143.75,18.34
NonResidential,1949,3,62000,Worship Facility,81.0,1799664.125,82.34
NonResidential,1981,2,23600,Office,82.0,776248.6875,5.41
NonResidential,1986,3,40067,Office,43.0,2303732.75,16.06
NonResidential,1989,3,19497,Office,67.0,1074989.0,7.49
NonResidential,1979,3,25262,Office,54.0,1469556.25,23.85
NonResidential,1980,3,34106,Office,57.0,1619177.125,11.29
NonResidential,1980,3,34545,Office,29.0,2313978.75,16.13
NonResidential,1980,3,70296,Office,86.0,2782066.5,19.39
NonResidential,1902,4,27838,Office,77.0,1217509.125,8.49
NonResidential,1951,2,39815,Office,62.0,2050600.75,40.22
NonResidential,1972,1,48112,Non-Refrigerated Warehouse,73.0,1485945.875,10.36
NonResidential,2001,2,26275,Office,27.0,1772188.5,12.35
NonResidential,1998,1,26115,Retail Store,43.0,1689372.625,36.74
NonResidential,1949,1,26033,Worship Facility,78.0,1149140.25,45.33
NonResidential,2007,4,48660,K-12 School,82.0,1881516.125,61.98
NonResidential,1909,4,29796,Residence Hall/Dormitory,47.0,2233262.0,79.58
NonResidential,1920,2,26400,Retail Store,36.0,983595.875,17.12
NonResidential,1918,3,38148,Office,98.0,1262255.75,8.8
NonResidential,1955,5,31945,Worship Facility,4.0,1806468.0,12.59
NonResidential,1985,5,52908,Office,43.0,4480961.0,31.24
NonResidential,1900,4,34680,Retail Store,92.0,1169948.875,26.38
NonResidential,1915,1,36504,Retail Store,2.0,2100982.75,20.76
NonResidential,1907,6,35200,Office,8.0,2998208.25,20.9
NonResidential,1907,5,35840,Office,83.0,1538750.625,48.35
NonResidential,1941,2,25920,Bank Branch,60.0,1333432.125,9.3
NonResidential,1928,4,30525,Office,17.0,2883139.0,73.61
NonResidential,1962,2,20570,Medical Office,2.0,2946756.25,85.55
NonResidential,1910,3,73549,Office,90.0,2828950.5,107.45
NonResidential,1962,3,37796,Worship Facility,55.0,2465983.5,123.41
NonResidential,1960,1,36444,Non-Refrigerated Warehouse,80.0,161311.0938,1.12
NonResidential,1950,1,27553,Non-Refrigerated Warehouse,63.0,966677.125,31.61
NonResidential,1964,2,45271,Retail Store,57.0,2553763.5,82.72
NonResidential,1920,3,16200,Office,62.0,1372213.375,35.77
NonResidential,1926,3,26176,Office,95.0,966907.375,32.09
NonResidential,1926,1,37740,Office,1.0,7442314.5,73.48
NonResidential,2009,3,23241,Worship Facility,66.0,739210.5,20.64
NonResidential,1999,4,38038,Office,84.0,2003807.75,13.97
NonResidential,2007,4,40000,Office,92.0,2524228.25,77.8
NonResidential,2013,6,29910,Office,92.0,7429423.0,86.51
NonResidential,1926,4,35780,Office,77.0,1912760.75,13.33
NonResidential,1964,4,17824,Office,41.0,564754.1875,3.94
NonResidential,1919,4,47686,Office,72.0,2071670.25,77.48
NonResidential,1990,4,47265,Parking,91.0,1717130.875,11.97
NonResidential,1910,4,36160,Office,47.0,1862176.875,12.98
NonResidential,1909,5,66900,Office,100.0,1634178.25,14.13
NonResidential,2000,3,36959,Office,13.0,3205182.5,22.46
NonResidential,1964,5,44860,Office,68.0,3600571.25,41.22
NonResidential,1959,2,21128,Office,97.0,436604.0938,3.04
NonResidential,1959,4,38520,Hotel,37.0,2804534.0,75.25
NonResidential,1961,3,24930,Hotel,95.0,867184.375,30.22
NonResidential,1960,1,27338,Worship Facility,56.0,581289.0,4.05
NonResidential,1930,3,45864,Office,94.0,2590622.0,115.43
NonResidential,1999,2,49252,K-12 School,23.0,3485865.5,104.91
SPS-District K-12,1950,1,34005,K-12 School,94.0,991918.0,10.15
SPS-District K-12,1949,1,41221,K-12 School,83.0,2246747.5,46.46
NonResidential,1987,3,33176,Office,89.0,1426279.5,35.96
SPS-District K-12,2000,2,75605,K-12 School,83.0,2274873.5,50.67
SPS-District K-12,2008,2,29525,K-12 School,77.0,1297812.75,24.42
SPS-District K-12,1954,1,42292,K-12 School,100.0,0.0,0.0
NonResidential,1977,1,29380,Non-Refrigerated Warehouse,33.0,856088.625,5.97
NonResidential,1922,2,22688,Worship Facility,87.0,331675.0,7.07
NonResidential,1982,2,41262,Office,84.0,1903455.875,13.27
NonResidential,1908,3,45680,Worship Facility,79.0,2077039.375,86.81
NonResidential,1957,1,23562,Worship Facility,96.0,531737.1875,3.71
SPS-District K-12,1988,2,54528,K-12 School,75.0,1972078.625,13.75
NonResidential,1914,2,45594,Refrigerated Warehouse,75.0,1351267.875,9.42
NonResidential,1975,1,28126,Non-Refrigerated Warehouse,44.0,870625.8125,18.63
NonResidential,1964,1,35000,Non-Refrigerated Warehouse,53.0,378714.4063,2.64
NonResidential,1962,1,26150,Non-Refrigerated Warehouse,6.0,1208407.625,26.55
NonResidential,1967,2,24000,Office,73.0,1088556.25,7.59
NonResidential,1968,5,43594,K-12 School,38.0,2478045.5,73.26
NonResidential,1962,1,22047,Worship Facility,100.0,265774.9063,1.85
NonResidential,1979,1,31600,Non-Refrigerated Warehouse,3.0,3363535.5,103.28
NonResidential,2007,1,35289,Non-Refrigerated Warehouse,63.0,876425.0,23.9
NonResidential,1981,1,28920,Non-Refrigerated Warehouse,50.0,1750419.0,80.09
NonResidential,1978,1,22176,Non-Refrigerated Warehouse,60.0,736428.625,32.77
NonResidential,1978,1,31300,Non-Refrigerated Warehouse,89.0,362874.0,9.08
NonResidential,1979,1,22000,Non-Refrigerated Warehouse,14.0,700627.625,4.88
NonResidential,1974,3,39927,Office,38.0,3568419.5,24.88
NonResidential,1980,2,20580,Medical Office,64.0,1002995.0,6.99
NonResidential,1968,2,38745,Medical Office,76.0,2890379.0,49.62
NonResidential,1967,3,38378,Medical Office,86.0,1645605.125,53.73
NonResidential,1980,2,33576,Non-Refrigerated Warehouse,64.0,1275231.75,49.73
NonResidential,1910,2,21765,Worship Facility,80.0,431390.4063,17.38
NonResidential,1901,2,26560,Worship Facility,1.0,1751483.875,64.88
NonResidential,1957,2,20140,Non-Refrigerated Warehouse,49.0,116486.6016,0.81
SPS-District K-12,1955,1,38582,K-12 School,85.0,1848878.5,64.54
NonResidential,1967,1,25500,Office,98.0,1213869.75,55.3
NonResidential,1922,3,35448,K-12 School,97.0,1379932.5,60.34
NonResidential,1975,3,41478,Non-Refrigerated Warehouse,3.0,3035962.25,78.22
