NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,BuildingAge,Energy_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean
1,63225,100.0,8,103.16412020561486,6.971198310967724e-06,505800,5155351.229166667
3,94400,38.0,17,8.308945974576272,1.3055154841913422e-05,1604800,1334609.24919344
3,95426,73.0,28,52.30608534361704,6.992081617827444e-06,2671928,2628999.7780914395
4,53472,84.0,16,72.89306552962299,6.9707096782800695e-06,855552,2628999.7780914395
3,62332,70.0,15,86.84813578900084,6.971565838810157e-06,934980,2628999.7780914395
2,90000,87.0,49,15.879404166666667,1.2014164749219618e-05,4410000,1334609.24919344
2,63240,100.0,75,3.5984614658444025,3.581367523885352e-05,4743000,1334609.24919344
4,106041,94.0,19,10.599136183174432,2.2759161274192728e-05,2014779,1334609.24919344
1,22780,33.0,50,17.649311347673397,6.96428518685659e-06,1139000,1334609.24919344
1,50065,72.0,49,30.550489363827026,2.7884742844972762e-05,2453185,1418871.6024444446
1,57540,26.0,47,44.885071254779284,2.9690008893838088e-05,2704380,1418871.6024444446
1,85400,49.0,50,17.997637587822013,6.974633835789989e-06,4270000,1334609.24919344
1,55700,63.0,50,9.3322458491921,6.964135363508892e-06,2785000,1334609.24919344
1,53250,96.0,52,33.6936572769953,2.6156690167093762e-05,2769000,2628999.7780914395
6,50245,98.0,29,43.38182406209573,1.3134716056960992e-05,1457105,2628999.7780914395
3,64660,89.0,30,5.034225177853387,1.9415507214765617e-05,1939800,1334609.24919344
1,52613,80.0,36,20.174828464447952,3.0166047510582734e-05,1894068,1418871.6024444446
2,62220,32.0,102,87.500056252009,7.0808605807940426e-06,6346440,2628999.7780914395
1,65430,89.0,46,48.61753782668501,2.8368031831044226e-05,3009780,2628999.7780914395
3,59850,26.0,10,101.29942355889725,8.110153600569245e-06,598500,2628999.7780914395
2,98024,94.0,27,20.28416000163225,2.1248939753346332e-05,2646648,1418871.6024444446
5,77953,62.0,26,65.87353918386721,6.9717081074344106e-06,2026778,2628999.7780914395
6,86483,56.0,35,73.5547622076015,6.971914972820143e-06,3026905,2628999.7780914395
1,51600,75.0,40,21.793471414728682,1.965242551280548e-05,2064000,1418871.6024444446
1,140520,61.0,48,15.837688585254767,2.5940098278508496e-05,6744960,1334609.24919344
5,91649,95.0,30,50.58862071599253,1.2699517825966783e-05,2749470,2628999.7780914395
1,50417,14.0,36,36.642422198861496,3.175812939367252e-05,1815012,1334609.24919344
