NumberofFloors,PropertyGFABuilding(s)_log,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,Longitude,NumberOfPropertyUseTypes,BuildingAge,Age_x_Size_log,Floor_density,size_x_type_mean,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility,SiteEnergyUse(kBtu)
2,10.564756994198051,Medical Office,65069.0,47.70087,-122.32379,2,48,14.435958005105942,19372.5,31194.944444444445,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2890379.0
2,9.918179101279117,Self-Storage Facility,20296.0,47.66353,-122.29505,1,57,13.961230369113668,10148.0,47629.375,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,855665.125
3,10.555239657729688,Medical Office,35066.0,47.66183,-122.29264,2,49,14.447059955840315,12792.666666666666,31194.944444444445,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1645605.125
2,10.421566805013427,Non-Refrigerated Warehouse,33576.0,47.66294,-122.29521,1,36,14.005085743469536,16788.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1275231.75
3,10.082052060452371,Office,20000.0,47.63981,-122.39907,2,89,14.57068843018451,7970.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,873577.3125
2,9.988058453986397,Worship Facility,21765.0,47.67477,-122.38241,1,106,14.651497548098465,10882.5,32669.727272727272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,431390.4063
2,10.18716160359037,Worship Facility,26560.0,47.6101,-122.30838,1,115,14.93209373195362,13280.0,32669.727272727272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1751483.875
2,9.910463166272553,Non-Refrigerated Warehouse,20140.0,47.65022,-122.34174,1,59,13.988000610178272,10070.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,116486.6016
1,10.560541125447834,K-12 School,40374.0,47.70743,-122.28463,1,61,14.671414989621146,38582.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1848878.5
1,10.146433731146518,Office,25500.0,47.55045,-122.32749,1,49,14.038254029257144,25500.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1213869.75
1,10.642921767047387,Non-Refrigerated Warehouse,37524.0,47.5478,-122.32307,2,55,14.650254952279857,41895.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1242311.5
2,10.936547472964001,Retail Store,56193.0,47.54912,-122.32184,1,58,14.996990483510421,28096.5,38211.08571428571,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2497942.75
3,10.475822112879326,K-12 School,35448.0,47.6712,-122.37568,1,94,15.01911689514933,11816.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1379932.5
1,10.373491181781864,Other - Recreation,29880.0,47.66621,-122.37502,2,55,14.380824367014334,32000.0,33288.375,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1331122.125
2,10.346248445387989,Other,14840.0,47.66389,-122.37307,3,106,15.009687539500057,15570.0,38299.84905660377,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,935580.3125
3,10.63291844517332,Non-Refrigerated Warehouse,31932.0,47.6644,-122.37246,2,41,14.346490511877628,13826.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3035962.25
1,10.592626711698534,Non-Refrigerated Warehouse,39840.0,47.66411,-122.37185,1,36,14.176145650154645,39840.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,752104.0
